,min_thresh_inner,min_thresh_outer,erode_kernel_size,erode_iterations
Plate 32 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 32 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,0.53,0.1,5,2
Plate 32 CHX 1.5 cm day 3 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 33 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 33 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 33 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.425,0.1,5,2
Plate 34 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 34 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.52,0.1,5,2
Plate 34 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.39,0.1,5,2
Plate 35 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 35 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 35 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.435,0.1,5,2
Plate 36 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 36 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 36 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.41,0.1,5,2
Plate 37 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 37 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.44,0.1,5,2
Plate 37 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.42,0.1,5,2
Plate 38 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 38 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.5,0.1,5,2
Plate 38 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.405,0.1,5,2
Plate 39 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 39 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.56,0.1,5,2
Plate 39 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,0.41,0.1,5,2
Plate 4 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 4 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,0.396,0.1,5,3
Plate 4 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,0.34,0.1,5,3
Plate 40 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 40 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.57,0.1,5,2
Plate 40 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.5,0.1,5,2
Plate 41 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
